Var1,Var2,y,pred
1,1,0.139825759222731,0.0029675367
1,2,0.0,0.0029675367
1,3,0.0,0.0029675367
1,4,0.0,0.0029675367
1,5,0.0,0.0029675367
1,6,0.0,0.0029675367
1,7,0.0,0.0029675367
1,8,0.0,0.0029675367
1,9,0.0,0.0029675367
1,10,0.0,0.0029675367
1,11,0.0,0.0029675367
1,12,0.0,0.0029675367
1,13,0.0,0.0029675367
1,14,0.0,0.0029675367
1,15,0.149133907679521,0.0029675367
1,16,0.0,0.0029675367
1,17,0.0,0.0029675367
1,18,0.0,0.0029675367
1,19,0.0,0.0029675367
1,20,0.0,0.0029675367
1,21,0.0,0.0029675367
1,22,0.0,0.0029675367
1,23,0.0,0.0029675367
1,24,0.0,0.0029675367
1,25,0.0,0.0029675367
1,26,0.0,0.0029675367
1,27,0.0,0.0029675367
1,28,-0.136048597067115,0.0029675367
1,29,0.0,0.0029675367
1,30,0.0,0.0029675367
1,31,0.0,0.0029675367
1,32,0.0,0.0029675367
1,33,0.0,0.0029675367
1,34,0.0,0.0029675367
1,35,0.0,0.0029675367
1,36,0.0,0.0029675367
1,37,0.0,0.0029675367
1,38,0.0,0.0029675367
1,39,0.0,0.0029675367
1,40,0.0,0.0029675367
1,41,-0.134215267755358,0.0029675367
1,42,0.0,0.0029675367
1,43,-0.128000802025263,0.0029675367
1,44,0.0,0.0029675367
1,45,0.0,0.0029675367
1,46,0.0,0.0029675367
1,47,0.0,0.0029675367
1,48,0.0,0.0029675367
1,49,0.137800721874331,0.0029675367
1,50,0.0,0.0029675367
1,51,0.0,0.0029675367
1,52,0.0,0.0029675367
1,53,0.0,0.0029675367
1,54,0.0,0.0029675367
1,55,0.0,0.0029675367
1,56,0.0,0.0029675367
1,57,0.0,0.0029675367
1,58,0.0,0.0029675367
1,59,0.0,0.0029675367
1,60,0.0,0.0029675367
1,61,0.0,0.0029675367
1,62,0.0,0.0029675367
1,63,0.0,0.0029675367
1,64,0.141429053055173,0.0029675367
1,65,0.0,0.0029675367
1,66,0.0,0.0029675367
1,67,0.0,0.0029675367
1,68,0.0,0.0029675367
1,69,0.0,0.0029675367
1,70,0.0,0.0029675367
1,71,0.0,0.0029675367
1,72,0.15539458704261,0.0029675367
1,73,0.0,0.0029675367
1,74,0.0,0.0029675367
1,75,0.0,0.0029675367
1,76,0.0,0.0029675367
1,77,0.0,0.0029675367
1,78,0.0,0.0029675367
1,79,0.0,0.0029675367
1,80,0.0,0.0029675367
1,81,0.0,0.0029675367
1,82,0.0,0.0029675367
1,83,0.0,0.0029675367
